"","K","exclus","semcoh","heldout","residual","bound","lbound","em.its"
"1",10,9.20296788003461,-56.1622949674697,-7.84782989353013,5.89646780662043,-16543044.3156088,-16543029.2111963,59
"2",15,9.39285149551948,-60.4532708737923,-7.79331404725978,5.05837652165203,-16379285.3060333,-16379257.406762,66
"3",20,9.60231577378128,-65.5313852540195,-7.74321105543211,4.52168500019466,-16263398.6528164,-16263356.3171999,102
"4",25,9.6388947243732,-69.1180290388631,-7.72900936139348,4.25677160800876,-16195831.4557274,-16195773.4521222,102
"5",30,9.67505264745508,-72.8568422156564,-7.69965045442962,3.91461410936432,-16105398.1569194,-16105323.498683,111
"6",35,9.70607901899377,-75.5638308079907,-7.68575651892365,3.6895734505941,-16053332.4686894,-16053240.3325138,123
"7",40,9.74110029236025,-78.0571710354958,-7.67027203408622,3.50308714203527,-16000405.8213824,-16000295.5007427,94
"8",45,9.76824304088523,-79.6190860014893,-7.65720588933417,3.39182304982533,-15943750.566426,-15943621.4424923,93
"9",50,9.77661415910302,-80.7027100942088,-7.64744524306559,3.25443876523183,-15906992.171135,-15906843.693368,87
"10",55,9.79273261196511,-83.8276341193526,-7.63592962767507,3.19933424333646,-15863150.5240237,-15862982.1965783,127
"11",60,9.80891637967583,-82.5248259084175,-7.6319703448069,3.09157784500164,-15818579.6449552,-15818391.0167817,97
"12",65,9.80914339840033,-86.3620561268668,-7.63161436817105,2.97150895697497,-15779479.2254715,-15779269.8828848,92
"13",70,9.82514053699338,-84.6772512614313,-7.62954642121838,2.93663182017242,-15746028.0679444,-15745797.6289009,94
"14",75,9.82391082913528,-87.0656565623508,-7.62503668953974,2.86599099722997,-15718651.3175414,-15718399.4271392,71
"15",80,9.82788882511412,-86.3251052303955,-7.61645361243556,2.82854094485135,-15674661.0996209,-15674387.4264966,76
"16",85,9.82556834413625,-87.2264808002133,-7.60870702068528,2.79103990197744,-15647987.6481902,-15647691.8815889,61
"17",90,9.82642615196551,-87.1401618331208,-7.60641496992708,2.77470114660845,-15616863.0355359,-15616544.8828963,64
"18",95,9.84194162084644,-87.2249815543891,-7.59558421283602,2.77426747482153,-15593810.0349822,-15593469.2199233,74
"19",100,9.84510585961981,-87.5289662490949,-7.59399645976735,2.75494485244731,-15570468.9449144,-15570105.2055389,56
